source_dataset,fusion_type,age,monthly_income,debt_ratio,credit_amount,loan_duration_months,late_payment_count,credit_lines,dependents,sex,housing,job,saving_accounts,checking_account,purpose,protected_group,age_group,income_group,risk_bucket,repaid,surname,postcode,state,geography,census_tract,surname_prob_group_a,surname_prob_group_b,tract_prob_group_a,tract_prob_group_b,bisg_prob_group_a,bisg_prob_group_b
give_me_some_credit,gmsc_observed_behavior_enriched_context,57,10121.0,0.283244418,1649.3983339423157,10.0,0.0,8.0,0.0,male,own,1,little,little,radio/TV,male,35 and over,Higher income,observed_good,1,Miller,90489,SC,Antonioside,SC-180325,0.5069926436972182,0.4930073563027818,0.39235500738268947,0.6076449926173105,0.3774277990519653,0.6225722009480347
give_me_some_credit,gmsc_observed_behavior_enriched_context,57,7750.0,0.14256225,2724.6599918132715,23.0,0.0,10.0,0.0,male,own,2,moderate,unknown,radio/TV,male,35 and over,Higher income,observed_good,1,Lucas,56967,DE,East Rachel,DE-796559,0.35142026455164294,0.6485797354483571,0.41354456421829583,0.5864554357817042,0.2586182828926293,0.7413817171073708
give_me_some_credit,gmsc_observed_behavior_enriched_context,48,6000.0,0.236293951,1723.4880436945773,11.0,0.0,8.0,3.0,male,own,2,little,unknown,education,male,35 and over,Higher income,observed_good,1,Potts,23696,AK,Lake Hectorberg,AK-689113,0.502935007951627,0.49706499204837296,0.6999971509398937,0.3000028490601063,0.6830871208721859,0.316912879127814
give_me_some_credit,gmsc_observed_behavior_enriched_context,41,4958.0,0.163137729,1054.963292278037,18.0,0.0,4.0,0.0,male,own,2,rich,unknown,radio/TV,male,35 and over,Lower income,observed_good,1,Smith,59089,WA,Catherineton,WA-494990,0.6423586646625007,0.3576413353374993,0.6014326645656833,0.39856733543431666,0.7121861394740249,0.2878138605259751
give_me_some_credit,gmsc_observed_behavior_enriched_context,49,5400.0,5.0,6033.360919235643,35.0,0.0,11.0,0.0,male,free,2,little,little,car,male,35 and over,Higher income,good_watch,1,Anderson,33745,KY,Port Robertaton,KY-489713,0.6105180325970083,0.3894819674029917,0.6557967006774066,0.3442032993225934,0.731663647058138,0.26833635294186203
give_me_some_credit,gmsc_observed_behavior_enriched_context,34,8950.0,0.295274271,2135.882210288526,17.0,0.0,10.0,0.0,female,rent,2,quite rich,unknown,furniture/equipment,female,Under 35,Higher income,observed_good,1,Curry,66328,IA,Kevinbury,IA-872737,0.4513078062972857,0.5486921937027143,0.5211506019733716,0.4788493980266284,0.44972941007609823,0.5502705899239018
give_me_some_credit,gmsc_observed_behavior_enriched_context,67,5400.0,5.0,5420.983238306231,29.0,0.0,6.0,0.0,male,own,2,unknown,unknown,repairs,male,35 and over,Higher income,good_watch,1,Scott,25063,IN,Nicholashaven,IN-177350,0.5643652725014163,0.4356347274985837,0.6699612787959043,0.3300387212040957,0.705967428148828,0.29403257185117193
give_me_some_credit,gmsc_observed_behavior_enriched_context,78,5833.0,0.007199177,1005.3881268746088,6.0,0.0,11.0,1.0,male,rent,2,quite rich,unknown,car,male,35 and over,Higher income,observed_good,1,Sandoval,91730,DC,Timothybury,DC-727630,0.4571739604405843,0.5428260395594158,0.5432313989120172,0.4567686010879828,0.47766601557859467,0.5223339844214054
give_me_some_credit,gmsc_observed_behavior_enriched_context,54,8533.0,0.255097258,4224.828701288615,21.0,0.0,13.0,0.0,male,own,2,rich,unknown,furniture/equipment,male,35 and over,Higher income,observed_good,1,Powers,31215,WA,Johnmouth,WA-281322,0.7024438683291401,0.2975561316708599,0.7218806176607514,0.2781193823392486,0.8483532059648625,0.1516467940351374
give_me_some_credit,gmsc_observed_behavior_enriched_context,44,6200.0,0.259474278,1048.6114825682664,10.0,0.0,11.0,2.0,male,own,2,little,little,car,male,35 and over,Higher income,observed_good,1,Perry,02101,CT,Port Tony,CT-184759,0.7467762506513905,0.2532237493486095,0.39223298416631924,0.6077670158336808,0.6347218068973357,0.3652781931026643
give_me_some_credit,gmsc_observed_behavior_enriched_context,55,4982.0,0.132851696,1615.692127999683,11.0,1.0,1.0,0.0,male,own,2,little,little,furniture/equipment,male,35 and over,Lower income,observed_bad,0,Bullock,05187,TX,Jennifertown,TX-573830,0.5564823630705974,0.4435176369294026,0.5318713209515307,0.46812867904846933,0.5655031862799333,0.4344968137200666
give_me_some_credit,gmsc_observed_behavior_enriched_context,33,5666.0,0.009175931,2769.5446187732487,27.0,0.0,9.0,0.0,female,own,2,little,unknown,radio/TV,female,Under 35,Higher income,observed_good,1,Harris,75196,WA,Port Robinbury,WA-978059,0.7190685836061492,0.2809314163938508,0.3370136515003866,0.6629863484996135,0.5429405229159415,0.4570594770840584
give_me_some_credit,gmsc_observed_behavior_enriched_context,31,5400.0,5.0,5918.6183530402295,21.0,0.0,2.0,0.0,male,own,2,moderate,moderate,car,male,Under 35,Higher income,good_watch,1,Martin,93959,MH,Adrianashire,MH-762176,0.4719817628464658,0.5280182371535342,0.6890041874621471,0.3109958125378529,0.6438808815710652,0.3561191184289349
